managerEmail,teamName,playerName,purchasePrice
amit@fal.test,Amits Arsenal,Aiden Markram,15.4
amit@fal.test,Amits Arsenal,Axar Patel,10.8
amit@fal.test,Amits Arsenal,Ben Duckett,12.4
amit@fal.test,Amits Arsenal,Digvesh Rathi,15.7
amit@fal.test,Amits Arsenal,Gurjapneet Singh,8.2
amit@fal.test,Amits Arsenal,Ishan Kishan,19.9
amit@fal.test,Amits Arsenal,Karun Nair,14.6
amit@fal.test,Amits Arsenal,Kumar Kushagra,10.3
amit@fal.test,Amits Arsenal,Manav Suthar,18.7
amit@fal.test,Amits Arsenal,Nicholas Pooran,11.1
amit@fal.test,Amits Arsenal,Praveen Dubey,9.0
amit@fal.test,Amits Arsenal,Prithvi Raj Yarra,14.3
amit@fal.test,Amits Arsenal,Prithvi Shaw,10.0
amit@fal.test,Amits Arsenal,Yash Dayal,16.6
amit@fal.test,Amits Arsenal,Yashasvi Jaiswal,9.2
arjun@fal.test,Arjuns Avengers,Ajay Mandal,13.8
arjun@fal.test,Arjuns Avengers,AM Ghazanfar,17.7
arjun@fal.test,Arjuns Avengers,Aman Hakim Khan,13.4
arjun@fal.test,Arjuns Avengers,Angkrish Raghuvanshi,19.7
arjun@fal.test,Arjuns Avengers,Cooper Connolly,9.7
arjun@fal.test,Arjuns Avengers,Daksh Kamra,17.6
arjun@fal.test,Arjuns Avengers,Deepak Chahar,12.8
arjun@fal.test,Arjuns Avengers,Krains Bhaveshbhai Fuletra,8.4
arjun@fal.test,Arjuns Avengers,Mohammed Shami,11.9
arjun@fal.test,Arjuns Avengers,Naman Tiwari,11.7
arjun@fal.test,Arjuns Avengers,Nitish Rana,18.4
arjun@fal.test,Arjuns Avengers,Ruturaj Gaikwad,16.4
arjun@fal.test,Arjuns Avengers,Sai Kishore,19.5
arjun@fal.test,Arjuns Avengers,Satvik Deswal,6.3
arjun@fal.test,Arjuns Avengers,Shubham Dubey,11.6
deepak@fal.test,Deepaks Dynasty,Auqib Nabi,9.9
deepak@fal.test,Deepaks Dynasty,Avesh Khan,19.0
deepak@fal.test,Deepaks Dynasty,Brijesh Sharma,9.4
deepak@fal.test,Deepaks Dynasty,Corbin Bosch,5.8
deepak@fal.test,Deepaks Dynasty,Devdutt Padikkal,10.6
deepak@fal.test,Deepaks Dynasty,Jacob Bethell,8.4
deepak@fal.test,Deepaks Dynasty,Kwena Maphaka,12.6
deepak@fal.test,Deepaks Dynasty,Mitchell Owen,13.0
deepak@fal.test,Deepaks Dynasty,Mohammed Salahuddin Izhar,5.0
deepak@fal.test,Deepaks Dynasty,Naman Dhir,12.0
deepak@fal.test,Deepaks Dynasty,Rasikh Salam Dar,13.6
deepak@fal.test,Deepaks Dynasty,Ravindra Jadeja,9.9
deepak@fal.test,Deepaks Dynasty,Riyan Parag,19.2
deepak@fal.test,Deepaks Dynasty,Sahil Parakh,7.9
deepak@fal.test,Deepaks Dynasty,Vicky Kanhaiya Ostwal,5.2
neha@fal.test,Nehas Knights,Abhishek Sharma,16.3
neha@fal.test,Nehas Knights,Atharva Ankolekar,5.1
neha@fal.test,Nehas Knights,Ben Dwarshuis,15.7
neha@fal.test,Nehas Knights,Finn Allen,11.4
neha@fal.test,Nehas Knights,Kamindu Mendis,19.0
neha@fal.test,Nehas Knights,Marcus Stoinis,17.1
neha@fal.test,Nehas Knights,Mustafizur Rahman,8.9
neha@fal.test,Nehas Knights,Prashant Veer,18.8
neha@fal.test,Nehas Knights,Ramandeep Singh,8.2
neha@fal.test,Nehas Knights,Rashid Khan,6.2
neha@fal.test,Nehas Knights,Shahbaz Ahmed,17.8
neha@fal.test,Nehas Knights,Shreyas Gopal,6.9
neha@fal.test,Nehas Knights,Shubman Gill,5.7
neha@fal.test,Nehas Knights,Urvil Patel,17.1
neha@fal.test,Nehas Knights,Virat Kohli,12.8
priya@fal.test,Priyas Panthers,Cameron Green,12.7
priya@fal.test,Priyas Panthers,Glenn Phillips,16.3
priya@fal.test,Priyas Panthers,Jack Edwards,6.8
priya@fal.test,Priyas Panthers,Kartik Sharma,18.9
priya@fal.test,Priyas Panthers,Mahendra Singh Dhoni,10.7
priya@fal.test,Priyas Panthers,Mayank Markande,17.3
priya@fal.test,Priyas Panthers,Mitchell Marsh,7.2
priya@fal.test,Priyas Panthers,Mitchell Starc,15.6
priya@fal.test,Priyas Panthers,Mukesh Kumar,13.6
priya@fal.test,Priyas Panthers,Priyansh Arya,15.0
priya@fal.test,Priyas Panthers,Romario Shepherd,6.1
priya@fal.test,Priyas Panthers,Sai Sudharsan,7.7
priya@fal.test,Priyas Panthers,Sanju Samson,5.6
priya@fal.test,Priyas Panthers,Shivang Kumar,18.8
priya@fal.test,Priyas Panthers,Suyash Sharma,11.1
raj@fal.test,Rajs Royals,Abishek Porel,11.8
raj@fal.test,Rajs Royals,Akeal Hosein,6.5
raj@fal.test,Rajs Royals,Aman Rao Perala,17.2
raj@fal.test,Rajs Royals,Arshdeep Singh,17.1
raj@fal.test,Rajs Royals,Ashwani Kumar,19.7
raj@fal.test,Rajs Royals,Ayush Badoni,10.5
raj@fal.test,Rajs Royals,Krunal Pandya,11.1
raj@fal.test,Rajs Royals,Liam Livingstone,13.5
raj@fal.test,Rajs Royals,Mayank Yadav,5.1
raj@fal.test,Rajs Royals,Philip Salt,10.2
raj@fal.test,Rajs Royals,Rinku Singh,19.7
raj@fal.test,Rajs Royals,Robin Minz,12.2
raj@fal.test,Rajs Royals,Sakib Hussain,14.8
raj@fal.test,Rajs Royals,Venkatesh Iyer,10.9
raj@fal.test,Rajs Royals,Yudhvir Singh Charak,15.6
rohit@fal.test,Rohits Rockets,Akash Deep,18.0
rohit@fal.test,Rohits Rockets,Josh Inglis,11.7
