managerEmail,teamName,playerName,purchasePrice
rohit@fal.test,Rohits Rockets,Abhishek Sharma,8.7
rohit@fal.test,Rohits Rockets,Akshat Raghuwanshi,12.9
rohit@fal.test,Rohits Rockets,Brijesh Sharma,8.1
rohit@fal.test,Rohits Rockets,Deepak Chahar,16.7
rohit@fal.test,Rohits Rockets,Heinrich Klaasen,9.4
rohit@fal.test,Rohits Rockets,Jacob Bethell,12.3
rohit@fal.test,Rohits Rockets,Jayant Yadav,7.9
rohit@fal.test,Rohits Rockets,Nitish Kumar Reddy,16.0
rohit@fal.test,Rohits Rockets,Riyan Parag,12.3
rohit@fal.test,Rohits Rockets,Shahbaz Ahmed,14.4
rohit@fal.test,Rohits Rockets,Sherfane Rutherford,15.3
rohit@fal.test,Rohits Rockets,Shreyas Gopal,9.0
rohit@fal.test,Rohits Rockets,Suryakumar Yadav,17.4
rohit@fal.test,Rohits Rockets,Virat Kohli,13.4
rohit@fal.test,Rohits Rockets,Yudhvir Singh Charak,9.1
viiveek@fal.test,Viiveeks XI,Akeal Hosein,19.8
viiveek@fal.test,Viiveeks XI,Arshin Kulkarni,18.7
viiveek@fal.test,Viiveeks XI,Brydon Carse,11.8
viiveek@fal.test,Viiveeks XI,Dhruv Jurel,16.4
viiveek@fal.test,Viiveeks XI,Harsh Dubey,10.3
viiveek@fal.test,Viiveeks XI,Ishant Sharma,16.3
viiveek@fal.test,Viiveeks XI,Kartik Sharma,5.3
viiveek@fal.test,Viiveeks XI,Matt Henry,13.9
viiveek@fal.test,Viiveeks XI,Rajat Patidar,17.4
viiveek@fal.test,Viiveeks XI,Ravindra Jadeja,14.3
viiveek@fal.test,Viiveeks XI,Sai Sudharsan,13.1
viiveek@fal.test,Viiveeks XI,Shashank Singh,14.6
viiveek@fal.test,Viiveeks XI,Sushant Mishra,16.2
viiveek@fal.test,Viiveeks XI,Vicky Kanhaiya Ostwal,16.3
viiveek@fal.test,Viiveeks XI,Washington Sundar,9.6
